Ano;Safra;Fazenda;Talhao;Cultura;Variedade;Destinacao;Area Plantio (ha);Tipo Adubacao;Recomendacao (kg/ha);Data Inicio Plantio;Data Fim Plantio;Estado
2024;1;São Pedro;Brasil;Milho;P3707 LP;Grão;61,4866;Nenhum;200;25/10/2023;25/10/2023;MG
2024;1;São Pedro;Cuba/Haiti;Milho;NK 503 VIP;Grão;100,3898;Nenhum;200;25/10/2023;28/10/2023;MG
2024;1;São Pedro;Jamaica;Milho;MG 616 PWU;Grão;92,3031;Nenhum;200;25/10/2023;25/10/2023;MG
2024;1;Pedra do Cerrado;Pivô 7;Soja;BMX TORMENTA IPRO;Grão;86;10-46-00 + 9S;120;03/11/2023;03/11/2023;MS
2024;1;Pedra do Cerrado;Pivô 8;Soja;BMX BONUS IPRO;Grão;155;10-46-00 + 9S;120;05/11/2023;06/11/2023;MS
2024;1;Pedra do Cerrado;Pivô 10;Soja;BMX GUEPARDO IPRO;Grão;196;10-46-00 + 9S;120;08/11/2023;09/11/2023;MS
2024;1;Pedra do Cerrado;Pivô 12;Soja;BMX OLIMPO IPRO;Grão;177;10-46-00 + 9S;120;10/11/2023;11/11/2023;MS
2024;1;MBJM;Colina;Soja;BMX FOCO IPRO;Grão;205,87;MAP;113,56;22/11/2023;09/12/2023;MG
2024;1;MBJM;São Lucas;Soja;TMG 2374 IPRO;Grão;313,21;MAP;118,13;01/12/2023;07/12/2023;MG
2024;1;MBJM;Cabaçal;Soja;BMX FOCO IPRO;Grão;160;MAP;114,99;04/12/2023;08/12/2023;MG
2024;1;Pedra do Cerrado;Pivô 11;Soja;MARACAI IPRO;Grão;162;MAP;120;06/12/2023;06/12/2023;MS
2024;1;Pedra do Cerrado;Pivô 13;Soja;BMX OLIMPO IPRO;Grão;42;MAP;120;22/11/2023;23/11/2023;MS
2024;1;Pedra do Cerrado;Pivô 14;Soja;BMX OLIMPO IPRO;Grão;92;MAP;120;29/11/2023;30/11/2023;MS
2024;1;Pedra do Cerrado;Pivô 15;Soja;BMX OLIMPO IPRO;Grão;40;MAP;120;21/11/2023;22/11/2023;MS
2024;1;São Bernardo;Araguari;Milho;NK 503 VIP;Grão;52,96;MAP;200;30/11/2023;30/11/2023;MG
2024;1;São Bernardo;Belo Horizonte;Milho;NK 503 VIP;Grão;49,25;MAP;200;04/12/2023;05/12/2023;MG
2024;1;São Bernardo;Diamantina;Milho;NK 503 VIP;Grão;54,03;MAP;200;05/12/2023;08/12/2023;MG
2024;1;São Bernardo;Ituiutaba;Milho;NK 503 VIP;Grão;52,2;MAP;200;05/12/2023;08/12/2023;MG
2024;1;São Bernardo;Juiz de Fora;Milho;NK 503 VIP;Grão;80,69;MAP;200;06/12/2023;08/12/2023;MG
2024;1;São Bernardo;Monte Alegre;Milho;NK 503 VIP;Grão;59,42;MAP;200;30/11/2023;02/12/2023;MG
2024;1;São Bernardo;Pará de Minas;Milho;NK 503 VIP;Grão;49,04;MAP;200;08/12/2023;10/12/2023;MG
2024;2;Austrália;Pivô 5;Milho;B2801 PWU;Grão;46;Plantio_Oxyfértil;62;22/02/2024;24/02/2024;MG
2024;2;Atena;Pivô 5;Algodão;FM 906 GLT;Fibras;116,69;Nenhum;0;17/01/2024;17/01/2024;MG
2024;2;Boa Viagem;Pivô 4;Algodão;FM 906 GLT;Fibras;35;Nenhum;0;17/01/2024;20/01/2024;MG
2024;1;Boa Viagem;Pivô 10;Soja;M-SOY 6620 IPRO;Grão;67,39;Nenhum;0;29/09/2023;29/09/2023;MG
2024;1;Atena;Pivô 6;Soja;BMX TORMENTA IPRO;Grão;143,0278;Nenhum;0;19/09/2023;26/09/2023;MG
2024;1;Austrália;Araraquara;Soja;BMX OLIMPO IPRO;Grão;8,53;Nenhum;0;30/10/2023;30/10/2023;MG
2024;1;Austrália;Barretos;Soja;BMX OLIMPO IPRO;Grão;74,11;Nenhum;0;31/10/2023;31/10/2023;MG
2024;1;Boa Viagem;Pivô 2;Soja;P96Y90 RR;Grão;48,34;Nenhum;0;25/09/2023;25/09/2023;MG
2024;1;Boa Viagem;Pivô 3;Soja;BMX GUEPARDO IPRO;Grão;33,16;Nenhum;0;24/09/2023;24/09/2023;MG
2024;1;Boa Viagem;Pivô 4;Soja;BMX EXATA i2X;Grão;35;Nenhum;0;23/09/2023;23/09/2023;MG
